,lat,lng
,23,-102
,51,9
,8,-2
,23,-102
,8,-2
,-30,-71
,23,-102
,8.5,-11.5
,1,38
,-30,-71
,51,9
,8,-2
,-30,-71
,8.5,-11.5
,1,38
,51,9
,23,-102
,8,-2
,8,-2
,23,-102
,1,38
,8.5,-11.5
,-30,-71
,51,9
,-5,120
,-5,120
,38,-97
,62,10
,23,-102
,8.5,-11.5
,51,9
,10,8
,8,-2
,1.3667,103.8
,1,38
,-20,30
,31.5,34.75
,-30,-71
,51,9
,1,38
,-30,-71
,-5,120
,23,-102
,1.3667,103.8
,62,10
,-20,30
,8,-2
,8.5,-11.5
,23,-102
,62,10
,-30,-71
,8.5,-11.5
,1.3667,103.8
,15,30
,10,8
,8,-2
,1,38
,-5,120
,-20,30
,15,30
,62,10
,-5,120
,-30,-71
,1,38
,8,-2
,1.3667,103.8
,8.5,-11.5
,-20,30
,23,-102
,10,8
,-20,30
,1.3667,103.8
,62,10
,23,-102
,-5,120
,15,30
,1,38
,10,8
,8.5,-11.5
,-30,-71
,-30,-71
,1,38
,10,8
,62,10
,23,-102
,-20,30
,-5,120
,15,30
,8.5,-11.5
,1,38
,62,10
,15,30
,-20,30
,8,-2
,-5,120
,-30,-71
,23,-102
,10,8
,8.5,-11.5
,15,30
,8.5,-11.5
,62,10
,-20,30
,23,-102
,1,38
,10,8
,-5,120
,8,-2
,-30,-71
,46,2
,-30,-71
,8,-2
,62,10
,8.5,-11.5
,10,8
,46,2
,1,38
,23,-102
,15,30
,-20,30
,20,77
,-5,120
,52,20
,-5,120
,10,8
,8.5,-11.5
,20,77
,-30,-71
,52,20
,15,30
,51,9
,1,38
,62,10
,-20,30
,8,-2
,10,8
,52,20
,8,-2
,20,77
,-20,30
,1,38
,62,10
,-5,120
,46,2
,8.5,-11.5
,15,30
,-30,-71
,8,-2
,-5,120
,-20,30
,9.5,2.25
,-34,-64
,8.5,-11.5
,20,77
,-30,-71
,46,2
,62,10
,1,38
,15,30
,10,8
,8.5,-11.5
,9.5,2.25
,52.5,5.75
,-20,30
,62,10
,46,2
,8,-2
,-5,120
,10,8
,1,38
,-30,-71
,15,30
,-34,-64
,-29,24
,20,77
,-5,120
,15,30
,10,8
,-20,30
,62,10
,-29,24
,8,-2
,8.5,-11.5
,9.5,2.25
,20,77
,-34,-64
,1,38
,-30,-71
,-30,-71
,10,8
,46,2
,38,-97
,-29,24
,20,77
,-5,120
,-20,30
,4,-72
,8,-2
,8.5,-11.5
,9.5,2.25
,62,10
,1,38
,15,30
,-20,30
,9.5,2.25
,20,77
,15,30
,1,38
,4,-72
,62,10
,8.5,-11.5
,-30,-71
,-29,24
,-5,120
,10,8
,9.5,2.25
,-20,30
,8.5,-11.5
,10,8
,1,38
,51,9
,-5,120
,20,77
,62,10
,4,-72
,15,30
,-30,-71
,-29,24
,4,-72
,46,2
,-29,24
,9.5,2.25
,1,38
,20,77
,62,10
,-20,30
,10,8
,8.5,-11.5
,-5,120
,38,-97
,15,30
,51,9
,52.5,5.75
,-30,-71
,51,9
,-30,-71
,9.5,2.25
,10,8
,15,30
,52.5,5.75
,62,10
,1,38
,-20,30
,46,2
,20,77
,4,-72
,-5,120
,-29,24
,10,8
,1,38
,-29,24
,9.5,2.25
,46,2
,52.5,5.75
,-5,120
,62,10
,-30,-71
,20,77
,4,-72
,-20,30
,-29,24
,9.5,2.25
,-30,-71
,-5,120
,4,-72
,52.5,5.75
,10,8
,51,9
,20,77
,-20,30
,8,-2
,62,10
,8.5,-11.5
,46,2
,1,38
,62,10
,20,77
,-5,120
,10,8
,8.5,-11.5
,9.5,2.25
,8,-2
,51,9
,46,2
,-20,30
,-30,-71
,1,38
,-29,24
,52.5,5.75
,10,8
,8,-2
,-20,30
,4,-72
,9.5,2.25
,62,10
,1,38
,46,2
,8.5,-11.5
,-5,120
,-30,-71
,20,77
,51,9
,46,2
,62,10
,1,38
,-30,-71
,8.5,-11.5
,9.5,2.25
,8,-2
,-5,120
,-20,30
,4,-72
,15,30
,10,8
,20,77
,8,-2
,8.5,-11.5
,4,-72
,1,38
,-5,120
,9.5,2.25
,15,30
,10,8
,62,10
,-20,30
,46,2
,20,77
,-30,-71
,1,38
,20,77
,-29,24
,9.5,2.25
,-20,30
,-30,-71
,38,-97
,23,-102
,10,8
,62,10
,15,30
,51,9
,-5,120
,8,-2
,8.5,-11.5
,46,2
,-30,-71
,15,30
,8,-2
,23,-102
,20,77
,46,2
,-29,24
,10,8
,1,38
,8.5,-11.5
,-5,120
,42.8333,12.8333
,62,10
,9.5,2.25
,-20,30
,-20,30
,23,-102
,9.5,2.25
,10,8
,-29,24
,-5,120
,20,77
,62,10
,8,-2
,46,2
,-30,-71
,8.5,-11.5
,15,30
,42.8333,12.8333
,1,38
,20,77
,-5,120
,39.5,-8
,-29,24
,46,2
,9.5,2.25
,-30,-71
,4,-72
,8,-2
,23,-102
,42.8333,12.8333
,1,38
,-20,30
,10,8
,20,77
,8.5,-11.5
,1,38
,46,2
,39.5,-8
,42.8333,12.8333
,-20,30
,9.5,2.25
,8,-2
,62,10
,-5,120
,10,8
,-29,24
,-30,-71
,20,77
,62,10
,-20,30
,46,2
,-5,120
,10,8
,42.8333,12.8333
,8,-2
,1,38
,-29,24
,9.5,2.25
,-30,-71
,23,-102
,1,38
,54,-2
,9.5,2.25
,40,-4
,10,8
,8.5,-11.5
,42.8333,12.8333
,-20,30
,62,10
,20,77
,-5,120
,-30,-71
,46,2
,8,-2
,-30,-71
,1,32
,54,-2
,62,10
,-5,120
,-20,30
,10,8
,39.5,-8
,20,77
,42.8333,12.8333
,1,38
,-29,24
,40,-4
,9.5,2.25
,8,-2
,8.5,-11.5
,46,2
,9.5,2.25
,62,10
,8.5,-11.5
,40,-4
,1,38
,42.8333,12.8333
,39.5,-8
,-29,24
,-20,30
,-30,-71
,10,8
,8,-2
,-5,120
,20,77
,54,-2
,-30,-71
,1,38
,40,-4
,8.5,-11.5
,10,8
,62,10
,-20,30
,39.5,-8
,20,77
,-5,120
,42.8333,12.8333
,8,-2
,20,77
,1,38
,1,32
,40,-4
,-5,120
,-30,-71
,10,8
,39.5,-8
,8,-2
,1,38
,-30,-71
,51,9
,20,77
,-5,120
,39.5,-8
,10,8
,40,-4
,20,77
,39.5,-8
,10,8
,1,38
,-30,-71
,-5,120
,54,-2
,40,-4
,62,10
,51,9
,-30,-71
,1,38
,-5,120
,39.5,-8
,1,32
,51,9
,10,8
,20,77
